EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2018;G;1;;;;;Gastos de personal
2018;G;1;10;;;;Altos cargos
2018;G;1;10;100;;;Retribuciones básicas y otras remuneraciones
2018;G;1;10;101/02002;;;Asignación Constitucional Señores Diputados
2018;G;1;10;101/02003;;;Asignación Constitucional Señores Senadores
2018;G;1;10;101/02005;;;Retribuciones básicas y otras remuneraciones de Altos Cargos
2018;G;1;11;;;;Personal eventual
2018;G;1;11;110;;;Retribuciones básicas y otras remuneraciones
2018;G;1;11;111;;;Personal eventual de las Cortes
2018;G;1;12;;;;Funcionarios
2018;G;1;12;120;;;Retribuciones básicas
2018;G;1;12;121;;;Retribuciones complementarias
2018;G;1;12;122;;;Retribuciones en especie
2018;G;1;12;123;;;Indemnizaciones percibidas por destino en el extranjero
2018;G;1;12;124;;;Retribuciones de funcionarios en prácticas
2018;G;1;12;125/02001;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2018;G;1;12;125/02002;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2018;G;1;12;125/02005;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2018;G;1;12;125/13002;;;Para retribuir al personal sustituto de la Administración de Justicia
2018;G;1;12;125/13003;;;Para retribuir al personal sustituto de la Administración de Justicia
2018;G;1;12;125/13006;;;Para retribuir al personal sustituto de la Administración de Justicia
2018;G;1;12;126;;;Retribuciones básicas y complementarias del CNI
2018;G;1;12;127;;;Contribuciones a planes de pensiones
2018;G;1;12;128;;;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz
2018;G;1;13;;;;Laborales
2018;G;1;13;130;;;Laboral fijo
2018;G;1;13;131;;;Laboral eventual
2018;G;1;13;132;;;Retribuciones en especie
2018;G;1;13;133/15002;;;Laboral en el extranjero
2018;G;1;13;133/15026;;;Laboral en el extranjero
2018;G;1;13;133/27010;;;Laborales en el extranjero
2018;G;1;13;135/02002;;;Retribuciones del personal laboral de las Cortes
2018;G;1;13;135/02003;;;Retribuciones del personal laboral de las Cortes
2018;G;1;13;135/02004;;;Retribuciones del personal laboral de la Junta Electoral Central
2018;G;1;13;137;;;Contribuciones a planes de pensiones
2018;G;1;14;;;;Otro personal
2018;G;1;14;143;;;Otro personal
2018;G;1;14;145;;;Otro Personal del Defensor del Pueblo
2018;G;1;15;;;;Incentivos al rendimiento
2018;G;1;15;150;;;Productividad
2018;G;1;15;151;;;Gratificaciones
2018;G;1;15;152/13102;;;Otros incentivos al rendimiento
2018;G;1;15;152/14001;;;Productividad del Personal Estatutario
2018;G;1;15;153;;;Complemento de dedicación especial
