EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2009;G;1;;;;;Gastos de personal
2009;G;1;10;;;;Altos cargos
2009;G;1;10;100;;;Retribuciones básicas y otras remuneraciones
2009;G;1;10;101/02001;;;Asignación Parlamentarios Europeos
2009;G;1;10;101/02002;;;Asignación Constitucional Señores Diputados
2009;G;1;10;101/02003;;;Asignación Constitucional Señores Senadores
2009;G;1;10;101/02005;;;Retribuciones básicas y otras remuneraciones de Altos Cargos
2009;G;1;10;107;;;Contribuciones a planes de pensiones
2009;G;1;11;;;;Personal eventual
2009;G;1;11;110;;;Retribuciones básicas y otras remuneraciones
2009;G;1;11;111;;;Personal eventual de las Cortes
2009;G;1;11;117;;;Contribuciones a planes de pensiones
2009;G;1;12;;;;Funcionarios
2009;G;1;12;120;;;Retribuciones básicas
2009;G;1;12;121;;;Retribuciones complementarias
2009;G;1;12;122;;;Retribuciones en especie
2009;G;1;12;123;;;Indemnizaciones percibidas por destino en el extranjero
2009;G;1;12;124;;;Retribuciones de funcionarios en prácticas
2009;G;1;12;125/02001;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2009;G;1;12;125/02002;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2009;G;1;12;125/02005;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2009;G;1;12;125/13002;;;Para retribuir al personal sustituto de la Administración de Justicia
2009;G;1;12;126;;;Retribuciones básicas y complementarias del CNI
2009;G;1;12;127;;;Contribuciones a planes de pensiones
2009;G;1;12;129;;;Para la repercusión del complemento específico en la paga extraordinaria y otras mejoras retributivas contempladas en la presente Ley
2009;G;1;13;;;;Laborales
2009;G;1;13;130;;;Laboral fijo
2009;G;1;13;131;;;Laboral eventual
2009;G;1;13;133;;;Laboral en el extranjero
2009;G;1;13;135/02002;;;Retribuciones del personal laboral de las Cortes
2009;G;1;13;135/02003;;;Retribuciones del personal laboral de las Cortes
2009;G;1;13;135/02004;;;Retribuciones del personal laboral de la Junta Electoral Central
2009;G;1;13;137;;;Contribuciones a planes de pensiones
2009;G;1;13;138;;;Para gastos Presidencia Española Unión Europea
2009;G;1;14;;;;Otro personal
2009;G;1;14;143;;;Otro personal
2009;G;1;14;145;;;Otro Personal del Defensor del Pueblo
2009;G;1;14;147;;;Contribuciones a planes de pensiones
2009;G;1;15;;;;Incentivos al rendimiento
2009;G;1;15;150;;;Productividad
2009;G;1;15;151;;;Gratificaciones
2009;G;1;15;152;;;Otros incentivos al rendimiento
2009;G;1;15;153;;;Complemento de dedicación especial
2009;G;1;15;154/25103;;;Otras gratificaciones por Actos de Estado
2009;G;1;15;154/26105;;;Productividad personal estatutario factor fijo
2009;G;1;15;155/26105;;;Productividad personal estatutario factor variable.
2009;G;1;15;155/31002;;;Participación  del  personal en  los  programas  de  calidad regulados en el Real Decreto 951/2005, de 29 de Julio
2009;G;1;16;;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2009;G;1;16;160;;;Cuotas sociales
2009;G;1;16;161;;;Prestaciones sociales
2009;G;1;16;162;;;Gastos sociales del personal
